wordform	normal_form	POS	animacy	aspect	case	gender	involvement	mood	number	person	tense	transitivity	voice
близок	близкий	ADJS	None	None	None	masc	None	None	sing	None	None	None	None
великий	великий	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
исторический	исторический	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
час	час	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
когда	когда	CONJ	None	None	None	None	None	None	None	None	None	None	None
первый	один	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
интеграл	интеграл	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
взовьётся	взвиться	VERB	None	perf	None	None	None	indc	sing	3per	futr	intr	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
мировое	мировой	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
пространство	пространство	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
тысячу	тысяча	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
лёт	год	NOUN	inan	None	gent	masc	None	None	plur	None	None	None	None
тому	тот	ADJF	None	None	datv	masc	None	None	sing	None	None	None	None
назад	назад	ADVB	None	None	None	None	None	None	None	None	None	None	None
ваши	ваш	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
героические	героический	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
предки	предок	NOUN	anim	None	nomn	masc	None	None	plur	None	None	None	None
покорили	покорить	VERB	None	perf	None	None	None	indc	plur	None	past	tran	None
власти	власть	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
единого	единый	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
государства	государство	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
весь	весь	ADJF	inan	None	accs	masc	None	None	sing	None	None	None	None
земной	земной	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
шар	шар	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
вам	вы	NPRO	None	None	datv	None	None	None	plur	2per	None	None	None
предстоит	предстоять	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
ещё	ещё	PRCL	None	None	None	None	None	None	None	None	None	None	None
более	более	ADVB	None	None	None	None	None	None	None	None	None	None	None
славный	славный	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
подвиг	подвиг	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
стеклянным	стеклянный	ADJF	None	None	ablt	masc	None	None	sing	None	None	None	None
электрическим	электрический	ADJF	None	None	ablt	masc	None	None	sing	None	None	None	None
огнедышащим	огнедышащий	ADJF	None	None	ablt	masc	None	None	sing	None	None	None	None
интегралом	интеграл	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
проинтегрировать	проинтегрировать	INFN	None	perf	None	None	None	None	None	None	None	tran	None
бесконечное	бесконечный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
уравнение	уравнение	NOUN	inan	None	accs	neut	None	None	sing	None	None	None	None
вселённой	вселенная	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
вам	вы	NPRO	None	None	datv	None	None	None	plur	2per	None	None	None
предстоит	предстоять	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
благодетельному	благодетельный	ADJF	None	None	datv	masc	None	None	sing	None	None	None	None
игу	иго	NOUN	inan	None	datv	neut	None	None	sing	None	None	None	None
разума	разум	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
подчинить	подчинить	INFN	None	perf	None	None	None	None	None	None	None	tran	None
неведомые	неведомый	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
существа	существо	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
обитающие	обитать	PRTF	None	impf	nomn	None	None	None	plur	None	pres	intr	actv
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
иных	иной	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
планетах	планет	NOUN	inan	None	loct	masc	None	None	plur	None	None	None	None
быть	быть	INFN	None	impf	None	None	None	None	None	None	None	intr	None
может	мочь	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
ещё	ещё	PRCL	None	None	None	None	None	None	None	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
диком	дик	NOUN	anim	None	ablt	masc	None	None	sing	None	None	None	None
состоянии	состояние	NOUN	inan	None	loct	neut	None	None	sing	None	None	None	None
свободы	свобода	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
если	если	CONJ	None	None	None	None	None	None	None	None	None	None	None
они	они	NPRO	None	None	nomn	None	None	None	plur	3per	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
поймут	понять	VERB	None	perf	None	None	None	indc	plur	3per	futr	tran	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
несём	нести	VERB	None	impf	None	None	None	indc	plur	1per	pres	tran	None
им	имя	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
математически	математически	ADVB	None	None	None	None	None	None	None	None	None	None	None
безошибочное	безошибочный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
счастье	счастие	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
наш	наш	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
долг	долг	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
заставить	заставить	INFN	None	perf	None	None	None	None	None	None	None	tran	None
их	они	NPRO	None	None	gent	None	None	None	plur	3per	None	None	None
быть	быть	INFN	None	impf	None	None	None	None	None	None	None	intr	None
счастливыми	счастливый	ADJF	None	None	ablt	None	None	None	plur	None	None	None	None
но	но	CONJ	None	None	None	None	None	None	None	None	None	None	None
прежде	прежде	ADVB	None	None	None	None	None	None	None	None	None	None	None
оружия	оружие	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
испытаем	испытать	VERB	None	perf	None	None	None	indc	plur	1per	futr	tran	None
слово	слово	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
от	от	PREP	None	None	None	None	None	None	None	None	None	None	None
имени	имя	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
благодетеля	благодетель	NOUN	anim	None	gent	masc	None	None	sing	None	None	None	None
объявляется	объявляться	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
всём	весь	ADJF	None	None	datv	None	None	None	plur	None	None	None	None
нумерам	нумера	NOUN	inan	None	datv	femn	None	None	plur	None	None	None	None
единого	единый	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
государства	государство	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
всякий	всякий	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
кто	кто	NPRO	None	None	nomn	masc	None	None	sing	None	None	None	None
чувствует	чувствовать	VERB	None	impf	None	None	None	indc	sing	3per	pres	tran	None
себя	себя	NPRO	None	None	accs	None	None	None	sing	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
силах	сила	NOUN	inan	None	loct	femn	None	None	plur	None	None	None	None
обязан	обязать	PRTS	None	perf	None	masc	None	None	sing	None	past	None	pssv
составлять	составлять	INFN	None	impf	None	None	None	None	None	None	None	tran	None
трактаты	трактат	NOUN	inan	None	nomn	masc	None	None	plur	None	None	None	None
поэмы	поэма	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
манифесты	манифест	NOUN	inan	None	nomn	masc	None	None	plur	None	None	None	None
оды	ода	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
или	или	CONJ	None	None	None	None	None	None	None	None	None	None	None
иные	иной	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
сочинения	сочинение	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
о	о	PREP	None	None	None	None	None	None	None	None	None	None	None
красоте	красота	NOUN	inan	None	datv	femn	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
величии	величие	NOUN	inan	None	loct	neut	None	None	sing	None	None	None	None
единого	единый	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
государства	государство	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
будет	быть	VERB	None	impf	None	None	None	indc	sing	3per	futr	intr	None
первый	один	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
груз	груз	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
который	который	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
понесёт	понести	VERB	None	perf	None	None	None	indc	sing	3per	futr	tran	None
интеграл	интеграл	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
здравствует	здравствовать	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
единое	единый	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
государство	государство	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
здравствуют	здравствовать	VERB	None	impf	None	None	None	indc	plur	3per	pres	intr	None
нумера	нумера	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
здравствует	здравствовать	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
благодетель	благодетель	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
пишу	писать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
чувствую	чувствовать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
горят	гореть	VERB	None	impf	None	None	None	indc	plur	3per	pres	intr	None
щёки	щека	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
проинтегрировать	проинтегрировать	INFN	None	perf	None	None	None	None	None	None	None	tran	None
грандиозное	грандиозный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
вселенское	вселенский	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
уравнение	уравнение	NOUN	inan	None	accs	neut	None	None	sing	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
разогнать	разогнать	INFN	None	perf	None	None	None	None	None	None	None	tran	None
дикую	дикий	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
кривую	кривая	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
выпрямить	выпрямить	INFN	None	perf	None	None	None	None	None	None	None	tran	None
её	она	NPRO	None	None	gent	femn	None	None	sing	3per	None	None	None
по	по	PREP	None	None	None	None	None	None	None	None	None	None	None
касательной	касательный	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
асимптоте	асимптота	NOUN	inan	None	datv	femn	None	None	sing	None	None	None	None
по	по	PREP	None	None	None	None	None	None	None	None	None	None	None
прямой	прямая	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
потому	потому	ADVB	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
линия	линия	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
единого	единый	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
государства	государство	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
прямая	прямая	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
великая	великий	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
божественная	божественный	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
точная	точный	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
мудрая	мудрый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
прямая	прямая	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
мудрейшая	мудрый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
линий	линия	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
д-503	д-503	None	None	None	None	None	None	None	None	None	None	None	None
строитель	строитель	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
интеграла	интеграл	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
один	один	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
математиков	математик	NOUN	anim	None	gent	masc	None	None	plur	None	None	None	None
единого	единый	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
государства	государство	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
моё	мой	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
привычное	привычный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
к	к	PREP	None	None	None	None	None	None	None	None	None	None	None
цифрам	цифра	NOUN	inan	None	datv	femn	None	None	plur	None	None	None	None
перо	перо	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
силах	сила	NOUN	inan	None	loct	femn	None	None	plur	None	None	None	None
создать	создать	INFN	None	perf	None	None	None	None	None	None	None	tran	None
музыки	музыка	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
ассонансов	ассонанс	NOUN	inan	None	gent	masc	None	None	plur	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
рифм	рифма	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
лишь	лишь	PRCL	None	None	None	None	None	None	None	None	None	None	None
попытаюсь	попытаться	VERB	None	perf	None	None	None	indc	sing	1per	futr	intr	None
записать	записать	INFN	None	perf	None	None	None	None	None	None	None	tran	None
то	то	CONJ	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
вижу	видеть	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
думаю	думать	VERB	None	impf	None	None	None	indc	sing	1per	pres	intr	None
точнее	точнее	CONJ	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
думаем	думать	VERB	None	impf	None	None	None	indc	plur	1per	pres	intr	None
именно	именно	PRCL	None	None	None	None	None	None	None	None	None	None	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
пусть	пусть	CONJ	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
будет	быть	VERB	None	impf	None	None	None	indc	sing	3per	futr	intr	None
заглавием	заглавие	NOUN	inan	None	ablt	neut	None	None	sing	None	None	None	None
моих	мой	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
записей	запись	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
но	но	CONJ	None	None	None	None	None	None	None	None	None	None	None
ведь	ведь	CONJ	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
будет	быть	VERB	None	impf	None	None	None	indc	sing	3per	futr	intr	None
производная	производный	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
от	от	PREP	None	None	None	None	None	None	None	None	None	None	None
нашей	наш	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
жизни	жизнь	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
от	от	PREP	None	None	None	None	None	None	None	None	None	None	None
математически	математически	ADVB	None	None	None	None	None	None	None	None	None	None	None
совершённой	совершенный	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
жизни	жизнь	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
единого	единый	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
государства	государство	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
а	а	CONJ	None	None	None	None	None	None	None	None	None	None	None
если	если	CONJ	None	None	None	None	None	None	None	None	None	None	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
то	то	CONJ	None	None	None	None	None	None	None	None	None	None	None
разве	разве	PRCL	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
будет	быть	VERB	None	impf	None	None	None	indc	sing	3per	futr	intr	None
само	сам	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
по	по	PREP	None	None	None	None	None	None	None	None	None	None	None
себе	себя	NPRO	None	None	datv	None	None	None	sing	None	None	None	None
помимо	помимо	PREP	None	None	None	None	None	None	None	None	None	None	None
моей	мой	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
воли	воля	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
поэмой	поэма	NOUN	inan	None	ablt	femn	None	None	sing	None	None	None	None
будет	быть	VERB	None	impf	None	None	None	indc	sing	3per	futr	intr	None
верю	верить	VERB	None	impf	None	None	None	indc	sing	1per	pres	intr	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
знаю	знать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
пишу	писать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
чувствую	чувствовать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
горят	гореть	VERB	None	impf	None	None	None	indc	plur	3per	pres	intr	None
щёки	щека	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
вероятно	вероятно	CONJ	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
похоже	похоже	CONJ	None	None	None	None	None	None	None	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
то	то	CONJ	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
испытывает	испытывать	VERB	None	impf	None	None	None	indc	sing	3per	pres	tran	None
женщина	женщина	NOUN	anim	None	nomn	femn	None	None	sing	None	None	None	None
когда	когда	CONJ	None	None	None	None	None	None	None	None	None	None	None
впервые	впервые	ADVB	None	None	None	None	None	None	None	None	None	None	None
услышит	услышать	VERB	None	perf	None	None	None	indc	sing	3per	futr	tran	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
себе	себя	NPRO	None	None	datv	None	None	None	sing	None	None	None	None
пульс	пульс	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
нового	новое	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
ещё	ещё	PRCL	None	None	None	None	None	None	None	None	None	None	None
крошечного	крошечный	ADJF	None	None	gent	masc	None	None	sing	None	None	None	None
слепого	слепой	ADJF	None	None	gent	masc	None	None	sing	None	None	None	None
человечка	человечек	NOUN	anim	None	gent	masc	None	None	sing	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
одновременно	одновременно	ADVB	None	None	None	None	None	None	None	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
я.	я.	None	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
долгие	долгий	ADJF	inan	None	accs	None	None	None	plur	None	None	None	None
месяцы	месяц	NOUN	inan	None	accs	masc	None	None	plur	None	None	None	None
надо	надо	PRED	None	None	None	None	None	None	None	None	pres	None	None
будет	быть	VERB	None	impf	None	None	None	indc	sing	3per	futr	intr	None
питать	питать	INFN	None	impf	None	None	None	None	None	None	None	tran	None
его	он	NPRO	None	None	accs	masc	None	None	sing	3per	None	None	None
своим	свой	ADJF	None	None	datv	None	None	None	plur	None	None	None	None
соком	сок	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
своей	свой	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
кровью	кровь	NOUN	inan	None	ablt	femn	None	None	sing	None	None	None	None
а	а	CONJ	None	None	None	None	None	None	None	None	None	None	None
потом	потом	ADVB	None	None	None	None	None	None	None	None	None	None	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
болью	боль	NOUN	inan	None	ablt	femn	None	None	sing	None	None	None	None
оторвать	оторвать	INFN	None	perf	None	None	None	None	None	None	None	tran	None
его	он	NPRO	None	None	accs	masc	None	None	sing	3per	None	None	None
от	от	PREP	None	None	None	None	None	None	None	None	None	None	None
себя	себя	NPRO	None	None	accs	None	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
положить	положить	INFN	None	perf	None	None	None	None	None	None	None	tran	None
к	к	PREP	None	None	None	None	None	None	None	None	None	None	None
ногам	нога	NOUN	inan	None	datv	femn	None	None	plur	None	None	None	None
единого	единый	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
